"","index","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","day","time","premium"
"1","0_00006f66-33e5-4de7-a324-2d18e439fc1e","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","Sunday","afternoon","1"
"2","0_00016a3d-9076-4f67-918f-f29e3ce160dc","0","0","0","0","0","1","0","1","0","1","0","1","1","0","1","0","0","0","1","0","Sunday","evening","1"
"3","0_0002fbb5-29c2-4d54-9636-e6d15e77b58c","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","latenight","1"
"4","0_00030fe3-298d-4930-8534-fc5a9b82971b","0","1","0","1","0","1","1","1","0","1","0","0","0","0","1","1","0","1","0","0","Saturday","latenight","0"
"5","0_0003e8a0-ea43-47fe-ac5a-8b502f4d38ef","0","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","Sunday","afternoon","1"
"6","0_00041f88-6d8a-49ca-9a03-d0cfdbbafe5e","0","1","1","1","1","1","1","1","1","1","1","1","0","0","1","0","0","1","1","1","Sunday","afternoon","1"
"7","0_00052b3c-a5f9-4b04-90ef-6378777d89d8","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","evening","1"
"8","0_0005a7a1-196e-4e08-8928-39b9a3ca2e1a","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","latenight","1"
"9","0_0006bfe8-8afe-45c2-a423-00a348b775c4","0","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","Saturday","evening","1"
"10","0_0008bd24-bbb0-4747-b777-7c97ce5ab3a9","0","0","1","0","1","1","1","1","1","1","0","0","0","1","1","0","1","0","1","1","Sunday","morning","1"
"11","0_0009367d-0072-4f19-8458-e291ddbbbd25","0","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","Friday","evening","1"
"12","0_0009bdeb-b5b7-4073-9b01-b72a32c77cda","0","0","1","0","1","1","1","1","0","1","1","0","1","1","0","0","0","0","1","1","Saturday","latenight","0"
"13","0_000af7ac-0eb1-4f29-bc50-faf8155a0812","0","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","Saturday","latenight","1"
"14","0_000bec52-cae6-4e1f-9518-18a4672ed8a3","0","1","0","1","1","0","0","1","0","1","1","1","1","1","1","1","0","1","0","1","Saturday","morning","1"
"15","0_000cd756-22f7-4551-8a43-ea8b88cfc1a9","0","1","0","1","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","0","Sunday","morning","1"
"16","0_000d307c-cfb4-4a65-9909-7b54d6b39cc8","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","evening","0"
"17","0_000df85e-b4c8-40dc-82cf-25f483effe20","0","0","1","1","0","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","Sunday","afternoon","1"
"18","0_000e69be-6083-48e9-81c7-8e45ff1794df","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"19","0_000ef258-8f30-4351-b0d4-d61697b20fa3","0","0","1","0","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","Sunday","evening","1"
"20","0_000fccb3-2639-46b8-b766-81167a5bce01","0","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","1","0","1","1","Sunday","afternoon","1"
"21","0_00104e1b-6e8f-4931-a079-a29d7991eea6","0","1","1","1","1","1","1","0","0","0","0","1","1","1","0","0","1","1","1","1","Sunday","evening","1"
"22","0_0010721f-d313-4a67-989e-b32cc44665dd","0","1","1","0","1","1","0","1","0","1","0","0","1","1","1","1","1","1","0","1","Sunday","afternoon","1"
"23","0_001179c0-5bf5-4008-ab47-b10258ecf9f7","0","1","0","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","0","1","Sunday","afternoon","0"
"24","0_00119bb4-131f-4a2a-9cf0-ddff187993e5","0","1","1","1","1","1","0","1","1","0","0","0","1","1","1","0","1","0","1","1","Saturday","latenight","1"
"25","0_00122af2-9ce1-4da6-9251-1a99d5f11195","0","0","1","0","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"26","0_00127e4f-400b-4284-8e2c-e9accbb9c54b","0","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","Saturday","latenight","1"
"27","0_00130aaf-66be-4824-be3a-d41f8b8caafb","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","0"
"28","0_00137cc4-c737-4b01-9e72-1161f3723b72","0","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","Saturday","latenight","1"
"29","0_0013efcc-bd57-4a73-b519-2c59fa42defb","0","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","Saturday","latenight","1"
"30","0_00141184-1b81-4937-ad53-f05390e64a2b","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"31","0_001442ea-ca81-479e-9780-ae765c1b1bde","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","Sunday","afternoon","1"
"32","0_0014f558-7944-4060-8947-c3d863798ad8","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","evening","1"
"33","0_00189cd3-c830-43cd-9dc3-2241b54fcbb7","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"34","0_00189d78-d420-4b73-8f7f-836f795c7c06","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","Sunday","afternoon","1"
"35","0_001b1c67-69b3-4ec6-9c8c-e4f84fa9fba4","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","latenight","1"
"36","0_001bcdcd-5413-4f0d-bc9d-47ba460c63a4","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","evening","1"
"37","0_001bd376-06fa-4fab-bbfb-a496f88e1cee","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","latenight","0"
"38","0_001e16a4-1d78-4d39-b191-df6b2cc97a02","0","1","1","0","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"39","0_0020bfcc-989f-4b5c-8082-c1121ef078cb","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","Saturday","evening","0"
"40","0_0021e01f-aa7d-4746-a4d6-10ec3741ec1f","0","1","1","1","1","0","1","1","1","1","1","0","1","1","0","1","1","1","0","0","Saturday","latenight","0"
"41","0_0022f275-b84c-4bab-a0b7-ae5d4799b8fe","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","Saturday","latenight","1"
"42","0_0024ad6a-c073-45cb-bf28-11032771e182","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","Sunday","afternoon","1"
"43","0_00297b75-84de-4ea7-84df-bdd11e9fb665","0","1","1","1","0","0","1","0","1","0","0","1","1","1","1","1","1","1","0","0","Saturday","latenight","0"
